Country,Year,Number below $2.15 a day
Middle East and North Africa (PIP),2017,18439126
Middle East and North Africa (PIP),2018,18943804
Middle East and North Africa (PIP),2019,18672272
Middle East and North Africa (PIP),2020,22122300
Middle East and North Africa (PIP),2021,24970678
Middle East and North Africa (PIP),2022,26126132
Middle East and North Africa (PIP),2023,27797856
Middle East and North Africa (PIP),2024,29769174
Other high income countries (PIP),2009,5450870
Other high income countries (PIP),2010,5442033
Other high income countries (PIP),2011,5877066
Other high income countries (PIP),2012,6196891
Other high income countries (PIP),2013,6834698
Other high income countries (PIP),2014,7316082
Other high income countries (PIP),2015,7992175
Other high income countries (PIP),2016,6919661
Other high income countries (PIP),2017,7645977
Other high income countries (PIP),2018,6831158
Other high income countries (PIP),2019,6669153
Other high income countries (PIP),2020,4063084
Other high income countries (PIP),2021,3589407
Other high income countries (PIP),2022,7127630
Other high income countries (PIP),2023,7147187
Other high income countries (PIP),2024,7165876
South Asia (PIP),2009,483264128
South Asia (PIP),2010,421789888
South Asia (PIP),2011,363246848
South Asia (PIP),2012,339098688
South Asia (PIP),2013,327521920
South Asia (PIP),2014,312509312
South Asia (PIP),2015,293974048
South Asia (PIP),2016,282914912
South Asia (PIP),2017,228703504
South Asia (PIP),2018,185471152
South Asia (PIP),2019,197267168
South Asia (PIP),2020,244566112
South Asia (PIP),2021,217729520
South Asia (PIP),2022,186216448
South Asia (PIP),2023,168163984
South Asia (PIP),2024,148676784
Sub-Saharan Africa (PIP),2009,375822592
Sub-Saharan Africa (PIP),2010,370573408
Sub-Saharan Africa (PIP),2011,370554176
Sub-Saharan Africa (PIP),2012,369551616
Sub-Saharan Africa (PIP),2013,371213120
Sub-Saharan Africa (PIP),2014,373953376
Sub-Saharan Africa (PIP),2015,385311648
Sub-Saharan Africa (PIP),2016,393551744
Sub-Saharan Africa (PIP),2017,398461888
Sub-Saharan Africa (PIP),2018,402819232
Sub-Saharan Africa (PIP),2019,411152736
Sub-Saharan Africa (PIP),2020,436740160
Sub-Saharan Africa (PIP),2021,444278688
Sub-Saharan Africa (PIP),2022,447998912
Sub-Saharan Africa (PIP),2023,458477664
Sub-Saharan Africa (PIP),2024,464179744
Western and Central Africa (PIP),2009,143748512
Western and Central Africa (PIP),2010,139296416
Western and Central Africa (PIP),2011,139903024
Western and Central Africa (PIP),2012,136195168
Western and Central Africa (PIP),2013,134590704
Western and Central Africa (PIP),2014,131638896
Western and Central Africa (PIP),2015,135002496
Western and Central Africa (PIP),2016,133319800
Western and Central Africa (PIP),2017,129095488
Western and Central Africa (PIP),2018,124930872
Western and Central Africa (PIP),2019,123857464
Western and Central Africa (PIP),2020,131976592
Western and Central Africa (PIP),2021,133550656
Western and Central Africa (PIP),2022,133960840
Western and Central Africa (PIP),2023,135809040
Western and Central Africa (PIP),2024,136766384
World,2009,1199263616
World,2010,1092742528
World,2011,980369792
World,2012,923164864
World,2013,832973376
World,2014,804976384
World,2015,778435072
World,2016,764762944
World,2017,708478656
World,2018,667108864
World,2019,683633536
World,2020,757105024
World,2021,745666368
World,2022,712786752
World,2023,705163328
World,2024,691757504
