Student ID,Course,Grade
57,History,A
57,English,B
57,Physical Education,B
58,Math,D
58,Science,B
58,History,F
58,English,F
58,Physical Education,C
59,Math,A
59,Science,A
59,History,D
59,English,F
59,Physical Education,A
60,Math,F
60,Science,C
60,History,B
60,English,D
60,Physical Education,D
61,Math,C
61,Science,D
61,History,D
61,English,C
61,Physical Education,B
62,Math,A
62,Science,F
62,History,C
62,English,D
62,Physical Education,F
63,Math,D
63,Science,D
63,History,C
63,English,B
63,Physical Education,A
64,Math,F
64,Science,D
64,History,B
64,English,D
64,Physical Education,F
65,Math,F
65,Science,C
65,History,A
65,English,D
65,Physical Education,D
66,Math,A
66,Science,C
66,History,F
66,English,C
66,Physical Education,D
67,Math,F
67,Science,B
67,History,A
67,English,B
67,Physical Education,D
68,Math,C
68,Science,A
68,History,F
68,English,A
68,Physical Education,C
69,Math,D
69,Science,F
69,History,C
69,English,B
69,Physical Education,A
70,Math,A
70,Science,C
70,History,C
70,English,B
70,Physical Education,A
71,Math,B
71,Science,D
71,History,F
71,English,B
71,Physical Education,F
72,Math,C
72,Science,A
72,History,B
72,English,F
72,Physical Education,D
73,Math,B
73,Science,C
73,History,A
73,English,C
73,Physical Education,F
74,Math,C
74,Science,F
74,History,C
74,English,C
74,Physical Education,D
75,Math,C
75,Science,B
75,History,D
75,English,D
75,Physical Education,C
76,Math,A
76,Science,A
76,History,D
76,English,A
76,Physical Education,F
77,Math,D
77,Science,D
77,History,D
77,English,C
77,Physical Education,A
78,Math,A
78,Science,A
78,History,D
78,English,B
78,Physical Education,F
79,Math,C
79,Science,B
79,History,A
79,English,A
79,Physical Education,F
80,Math,A
80,Science,C
80,History,B
80,English,D
80,Physical Education,C
81,Math,B
81,Science,A
81,History,B
81,English,F
81,Physical Education,C
82,Math,C
82,Science,F
82,History,C
82,English,C
82,Physical Education,F
83,Math,F
83,Science,D
83,History,C
83,English,A
83,Physical Education,B
84,Math,F
84,Science,B
84,History,A
84,English,F
84,Physical Education,A
85,Math,B
85,Science,A
85,History,D
85,English,F
85,Physical Education,A
86,Math,A
86,Science,B
86,History,F
86,English,C
86,Physical Education,A
87,Math,C
87,Science,B
87,History,F
87,English,D
87,Physical Education,D
88,Math,D
88,Science,A
88,History,D
88,English,C
88,Physical Education,B
89,Math,B
89,Science,F
89,History,F
89,English,F
89,Physical Education,F
90,Math,D
90,Science,B
90,History,D
90,English,D
90,Physical Education,A
91,Math,A
91,Science,D
91,History,D
91,English,A
91,Physical Education,C
92,Math,C
92,Science,A
92,History,B
92,English,A
92,Physical Education,D
93,Math,D
93,Science,A
93,History,B
93,English,B
93,Physical Education,D
94,Math,C
94,Science,F
94,History,B
94,English,F
94,Physical Education,D
95,Math,A
95,Science,D
95,History,B
95,English,F
95,Physical Education,D
96,Math,F
96,Science,F
96,History,B
96,English,F
96,Physical Education,A
97,Math,F
97,Science,F
97,History,C
97,English,B
97,Physical Education,D
98,Math,F
98,Science,F
98,History,C
98,English,A
98,Physical Education,D
99,Math,C
99,Science,A
99,History,C
99,English,F
99,Physical Education,F
100,Math,D
100,Science,C
100,History,B
100,English,A
100,Physical Education,C
101,Math,F
101,Science,C
101,History,B
101,English,C
101,Physical Education,F
102,Math,B
102,Science,F
102,History,B
102,English,C
102,Physical Education,F
103,Math,D
103,Science,C
103,History,F
103,English,D
103,Physical Education,D
104,Math,F
104,Science,F
104,History,A
104,English,A
104,Physical Education,D
105,Math,C
105,Science,B
105,History,F
105,English,C
105,Physical Education,C
106,Math,B
106,Science,D
106,History,F
106,English,B
106,Physical Education,B
107,Math,D
107,Science,D
107,History,D
107,English,D
107,Physical Education,F
108,Math,A
108,Science,D
108,History,D
108,English,B
108,Physical Education,D
109,Math,F
109,Science,A
109,History,F
109,English,C
109,Physical Education,B
110,Math,B
110,Science,D
110,History,A
110,English,F
110,Physical Education,C
111,Math,A
111,Science,F
111,History,C
111,English,F
111,Physical Education,A
112,Math,D
112,Science,F
112,History,D
112,English,D
112,Physical Education,C
113,Math,C
113,Science,A
113,History,D
113,English,F
113,Physical Education,C
114,Math,B
114,Science,D
114,History,A
114,English,A
114,Physical Education,C
115,Math,C
115,Science,A
115,History,C
115,English,A
115,Physical Education,A
116,Math,D
116,Science,B
116,History,C
116,English,A
116,Physical Education,C
117,Math,B
117,Science,F
117,History,C
117,English,A
117,Physical Education,C
118,Math,D
118,Science,B
118,History,F
118,English,A
118,Physical Education,C
119,Math,B
119,Science,C
119,History,C
119,English,B
119,Physical Education,B
120,Math,C
120,Science,D
120,History,C
120,English,F
120,Physical Education,B
121,Math,A
121,Science,D
121,History,D
121,English,B
121,Physical Education,C
122,Math,A
122,Science,D
122,History,F
122,English,F
122,Physical Education,F
123,Math,B
123,Science,F
123,History,F
123,English,C
123,Physical Education,C
124,Math,A
124,Science,B
124,History,F
124,English,A
124,Physical Education,B
125,Math,D
125,Science,A
125,History,F
125,English,C
125,Physical Education,C
126,Math,B
126,Science,D
126,History,A
126,English,B
126,Physical Education,A
127,Math,F
127,Science,F
127,History,F
127,English,D
127,Physical Education,F
128,Math,D
128,Science,F
128,History,A
128,English,B
128,Physical Education,C
129,Math,C
129,Science,B
129,History,A
129,English,D
129,Physical Education,F
130,Math,F
130,Science,B
130,History,C
130,English,C
130,Physical Education,F
131,Math,C
131,Science,A
131,History,F
131,English,B
131,Physical Education,D
132,Math,A
132,Science,F
132,History,C
132,English,D
132,Physical Education,D
133,Math,B
133,Science,F
133,History,C
133,English,C
133,Physical Education,C
134,Math,A
134,Science,F
134,History,A
134,English,F
134,Physical Education,C
135,Math,C
135,Science,B
135,History,D
135,English,C
135,Physical Education,A
136,Math,B
136,Science,B
136,History,F
136,English,C
136,Physical Education,A
137,Math,A
137,Science,D
137,History,F
137,English,C
137,Physical Education,C
138,Math,C
138,Science,D
138,History,A
138,English,F
138,Physical Education,D
139,Math,D
139,Science,C
139,History,D
139,English,F
139,Physical Education,B
140,Math,D
140,Science,A
140,History,F
140,English,B
140,Physical Education,F
141,Math,F
141,Science,C
141,History,C
141,English,F
141,Physical Education,D
142,Math,B
142,Science,C
142,History,C
142,English,A
142,Physical Education,B
143,Math,B
143,Science,B
143,History,D
143,English,B
143,Physical Education,C
144,Math,A
144,Science,A
144,History,D
144,English,B
144,Physical Education,B
145,Math,A
145,Science,A
145,History,C
145,English,A
145,Physical Education,C
146,Math,A
146,Science,F
146,History,A
146,English,B
146,Physical Education,A
147,Math,B
147,Science,D
147,History,A
147,English,C
147,Physical Education,B
148,Math,B
148,Science,D
148,History,F
148,English,B
148,Physical Education,F
149,Math,B
149,Science,D
149,History,A
149,English,C
149,Physical Education,B
150,Math,B
150,Science,C
150,History,C
150,English,D
150,Physical Education,A
151,Math,F
151,Science,A
151,History,C
151,English,F
151,Physical Education,A
152,Math,F
152,Science,F
152,History,A
152,English,D
152,Physical Education,F
153,Math,F
153,Science,B
153,History,F
153,English,B
153,Physical Education,B
154,Math,A
154,Science,C
154,History,A
154,English,A
154,Physical Education,D
155,Math,D
155,Science,B
155,History,B
155,English,D
155,Physical Education,F
156,Math,B
156,Science,B
156,History,A
156,English,B
156,Physical Education,D
157,Math,B
157,Science,B
157,History,C
157,English,B
157,Physical Education,C
158,Math,A
158,Science,F
158,History,D
158,English,A
158,Physical Education,B
159,Math,C
159,Science,B
159,History,D
159,English,D
159,Physical Education,F
160,Math,D
160,Science,F
160,History,B
160,English,D
160,Physical Education,B
161,Math,A
161,Science,A
161,History,A
161,English,B
161,Physical Education,C
162,Math,B
162,Science,A
162,History,F
162,English,C
162,Physical Education,D
163,Math,F
163,Science,C
163,History,B
163,English,D
163,Physical Education,B
164,Math,C
164,Science,B
164,History,A
164,English,D
164,Physical Education,A
165,Math,F
165,Science,F
165,History,F
165,English,B
165,Physical Education,F
166,Math,B
166,Science,F
166,History,F
166,English,B
166,Physical Education,D
167,Math,D
167,Science,F
167,History,C
167,English,C
167,Physical Education,D
168,Math,B
168,Science,A
168,History,F
168,English,D
168,Physical Education,D
169,Math,B
169,Science,D
169,History,C
169,English,F
169,Physical Education,D
170,Math,D
170,Science,B
170,History,A
170,English,F
170,Physical Education,C
171,Math,F
171,Science,F
171,History,C
171,English,B
171,Physical Education,B
172,Math,C
172,Science,A
172,History,C
172,English,D
172,Physical Education,A
173,Math,F
173,Science,F
173,History,A
173,English,C
173,Physical Education,C
174,Math,F
174,Science,B
174,History,F
174,English,A
174,Physical Education,C
175,Math,D
175,Science,F
175,History,D
175,English,D
175,Physical Education,D
176,Math,F
176,Science,F
176,History,F
176,English,A
176,Physical Education,B
177,Math,A
177,Science,B
177,History,C
177,English,C
177,Physical Education,F
178,Math,C
178,Science,D
178,History,C
178,English,F
178,Physical Education,A
179,Math,A
179,Science,F
179,History,F
179,English,B
179,Physical Education,F
180,Math,B
180,Science,B
180,History,C
180,English,B
180,Physical Education,F
181,Math,A
181,Science,F
181,History,B
181,English,F
181,Physical Education,A
182,Math,B
182,Science,D
182,History,B
182,English,A
182,Physical Education,D
183,Math,F
183,Science,F
183,History,C
183,English,A
183,Physical Education,B
184,Math,C
184,Science,B
184,History,C
184,English,A
184,Physical Education,C
185,Math,F
185,Science,F
185,History,B
185,English,B
185,Physical Education,A
186,Math,B
186,Science,C
186,History,F
186,English,B
186,Physical Education,F
187,Math,D
187,Science,C
187,History,A
187,English,A
187,Physical Education,C
188,Math,B
188,Science,F
188,History,F
188,English,A
188,Physical Education,D
189,Math,F
189,Science,C
189,History,A
189,English,A
189,Physical Education,F
190,Math,A
190,Science,A
190,History,A
190,English,A
190,Physical Education,B
191,Math,F
191,Science,D
191,History,B
191,English,C
191,Physical Education,D
192,Math,D
192,Science,B
192,History,F
192,English,A
192,Physical Education,D
193,Math,F
193,Science,C
193,History,D
193,English,F
193,Physical Education,A
194,Math,D
194,Science,A
194,History,C
194,English,C
194,Physical Education,F
195,Math,F
195,Science,A
195,History,B
195,English,B
195,Physical Education,A
196,Math,B
196,Science,A
196,History,C
196,English,C
196,Physical Education,D
197,Math,C
197,Science,A
197,History,C
197,English,A
197,Physical Education,A
198,Math,C
198,Science,F
198,History,F
198,English,B
198,Physical Education,F
199,Math,A
199,Science,D
199,History,F
199,English,D
199,Physical Education,A
200,Math,C
200,Science,B
200,History,F
200,English,B
200,Physical Education,F
201,Math,D
201,Science,A
201,History,F
201,English,F
201,Physical Education,A
202,Math,D
202,Science,F
202,History,A
202,English,F
202,Physical Education,B
203,Math,C
203,Science,F
203,History,F
203,English,D
203,Physical Education,B
204,Math,D
204,Science,A
204,History,F
204,English,F
204,Physical Education,F
205,Math,A
205,Science,F
205,History,D
205,English,A
205,Physical Education,F
206,Math,A
206,Science,A
206,History,F
206,English,A
206,Physical Education,D
207,Math,D
207,Science,F
207,History,B
207,English,A
207,Physical Education,D
208,Math,A
208,Science,F
208,History,C
208,English,F
208,Physical Education,C
209,Math,A
209,Science,D
209,History,F
209,English,C
209,Physical Education,D
210,Math,A
210,Science,F
210,History,D
210,English,D
210,Physical Education,F
211,Math,A
211,Science,A
211,History,D
211,English,F
211,Physical Education,A
212,Math,B
212,Science,F
212,History,F
212,English,B
212,Physical Education,A
213,Math,C
213,Science,A
213,History,C
213,English,F
213,Physical Education,F
214,Math,D
214,Science,F
214,History,A
214,English,D
214,Physical Education,F
215,Math,F
215,Science,D
215,History,F
215,English,B
215,Physical Education,D
216,Math,F
216,Science,F
216,History,A
216,English,A
216,Physical Education,C
217,Math,C
217,Science,B
217,History,F
217,English,A
217,Physical Education,B
218,Math,B
218,Science,D
218,History,C
218,English,D
218,Physical Education,D
219,Math,F
219,Science,A
219,History,F
219,English,A
219,Physical Education,B
220,Math,A
220,Science,F
220,History,D
220,English,F
220,Physical Education,F
221,Math,A
221,Science,B
221,History,A
221,English,B
221,Physical Education,B
222,Math,A
222,Science,C
222,History,A
222,English,F
222,Physical Education,C
223,Math,F
223,Science,A
223,History,A
223,English,D
223,Physical Education,D
224,Math,D
224,Science,D
224,History,D
224,English,B
224,Physical Education,A
225,Math,C
225,Science,B
225,History,D
225,English,A
225,Physical Education,A
226,Math,B
226,Science,F
226,History,D
226,English,D
226,Physical Education,B
227,Math,C
227,Science,C
227,History,A
227,English,B
227,Physical Education,D
228,Math,A
228,Science,C
228,History,A
228,English,C
228,Physical Education,C
229,Math,B
229,Science,A
229,History,F
229,English,F
229,Physical Education,D
230,Math,A
230,Science,C
230,History,F
230,English,C
230,Physical Education,C
231,Math,C
231,Science,C
231,History,F
231,English,C
231,Physical Education,F
232,Math,C
232,Science,B
232,History,D
232,English,F
232,Physical Education,B
233,Math,A
233,Science,C
233,History,D
233,English,F
233,Physical Education,F
234,Math,C
234,Science,B
234,History,C
234,English,D
234,Physical Education,F
235,Math,F
235,Science,A
235,History,B
235,English,C
235,Physical Education,B
236,Math,D
236,Science,C
236,History,A
236,English,F
236,Physical Education,B
237,Math,B
237,Science,D
237,History,A
237,English,C
237,Physical Education,D
238,Math,C
238,Science,A
238,History,C
238,English,C
238,Physical Education,D
239,Math,D
239,Science,C
239,History,D
239,English,A
239,Physical Education,A
240,Math,C
240,Science,C
240,History,D
240,English,B
240,Physical Education,A
241,Math,C
241,Science,F
241,History,A
241,English,F
241,Physical Education,F
242,Math,D
242,Science,D
242,History,D
242,English,F
242,Physical Education,D
243,Math,F
243,Science,C
243,History,B
243,English,F
243,Physical Education,B
244,Math,D
244,Science,F
244,History,A
244,English,C
244,Physical Education,D
245,Math,D
245,Science,B
245,History,D
245,English,A
245,Physical Education,B
246,Math,C
246,Science,F
246,History,D
246,English,F
246,Physical Education,C
247,Math,B
247,Science,C
247,History,A
247,English,B
247,Physical Education,F
248,Math,B
248,Science,C
248,History,D
248,English,F
248,Physical Education,A
249,Math,B
249,Science,F
249,History,B
249,English,C
249,Physical Education,A
250,Math,B
250,Science,D
250,History,C
250,English,A
250,Physical Education,A
251,Math,D
251,Science,A
251,History,B
251,English,C
251,Physical Education,A
252,Math,B
252,Science,B
252,History,D
252,English,A
252,Physical Education,D
253,Math,A
253,Science,C
253,History,F
253,English,C
253,Physical Education,B
254,Math,C
254,Science,B
254,History,F
254,English,A
254,Physical Education,D
255,Math,C
255,Science,A
255,History,B
255,English,F
255,Physical Education,D
256,Math,D
256,Science,C
256,History,C
256,English,F
256,Physical Education,B
257,Math,B
257,Science,F
257,History,A
257,English,A
257,Physical Education,D
258,Math,C
258,Science,D
258,History,B
258,English,D
258,Physical Education,C
259,Math,B
259,Science,B
259,History,D
259,English,D
259,Physical Education,A
260,Math,C
260,Science,D
260,History,B
260,English,A
260,Physical Education,D
261,Math,F
261,Science,F
261,History,F
261,English,A
261,Physical Education,A
262,Math,F
262,Science,C
262,History,B
262,English,A
262,Physical Education,A
263,Math,B
263,Science,A
263,History,C
263,English,A
263,Physical Education,C
264,Math,F
264,Science,B
264,History,B
264,English,D
264,Physical Education,C
265,Math,A
265,Science,D
265,History,A
265,English,F
265,Physical Education,D
266,Math,F
266,Science,F
266,History,F
266,English,D
266,Physical Education,C
267,Math,C
267,Science,C
267,History,C
267,English,B
267,Physical Education,A
268,Math,B
268,Science,A
268,History,C
268,English,D
268,Physical Education,D
269,Math,B
269,Science,C
269,History,F
269,English,B
269,Physical Education,B
270,Math,C
270,Science,C
270,History,D
270,English,F
270,Physical Education,D
271,Math,D
271,Science,D
271,History,C
271,English,C
271,Physical Education,D
272,Math,B
272,Science,B
272,History,B
272,English,C
272,Physical Education,C
273,Math,F
273,Science,D
273,History,D
273,English,D
273,Physical Education,F
274,Math,A
274,Science,C
274,History,F
274,English,B
274,Physical Education,B
275,Math,F
275,Science,A
275,History,B
275,English,A
275,Physical Education,A
276,Math,C
276,Science,B
276,History,C
276,English,A
276,Physical Education,F
277,Math,C
277,Science,F
277,History,A
277,English,A
277,Physical Education,B
278,Math,C
278,Science,D
278,History,F
278,English,B
278,Physical Education,F
279,Math,D
279,Science,A
279,History,D
279,English,B
279,Physical Education,A
280,Math,D
280,Science,D
280,History,F
280,English,F
280,Physical Education,F
281,Math,C
281,Science,F
281,History,C
281,English,B
281,Physical Education,A
282,Math,D
282,Science,F
282,History,F
282,English,D
282,Physical Education,F
283,Math,B
283,Science,C
283,History,B
283,English,D
283,Physical Education,B
284,Math,D
284,Science,C
284,History,D
284,English,A
284,Physical Education,D
285,Math,D
285,Science,D
285,History,D
285,English,C
285,Physical Education,B
286,Math,C
286,Science,F
286,History,D
286,English,A
286,Physical Education,B
287,Math,F
287,Science,F
287,History,A
287,English,F
287,Physical Education,F
288,Math,C
288,Science,F
288,History,C
288,English,B
288,Physical Education,C
289,Math,B
289,Science,F
289,History,A
289,English,B
289,Physical Education,C
290,Math,A
290,Science,F
290,History,B
290,English,A
290,Physical Education,A
291,Math,F
291,Science,A
291,History,A
291,English,F
291,Physical Education,D
292,Math,A
292,Science,A
292,History,F
292,English,F
292,Physical Education,C
293,Math,D
293,Science,A
293,History,B
293,English,D
293,Physical Education,A
294,Math,F
294,Science,C
294,History,A
294,English,C
294,Physical Education,A
295,Math,C
295,Science,F
295,History,D
295,English,F
295,Physical Education,B
296,Math,C
296,Science,F
296,History,A
296,English,B
296,Physical Education,C
297,Math,F
297,Science,C
297,History,F
297,English,F
297,Physical Education,B
298,Math,D
298,Science,D
298,History,B
298,English,D
298,Physical Education,F
299,Math,F
299,Science,F
299,History,A
299,English,F
299,Physical Education,C
300,Math,C
300,Science,D
300,History,C
300,English,D
300,Physical Education,B
301,Math,F
301,Science,D
301,History,D
301,English,D
301,Physical Education,B
302,Math,D
302,Science,F
302,History,C
302,English,F
302,Physical Education,D
303,Math,B
303,Science,C
303,History,D
303,English,C
303,Physical Education,A
304,Math,B
304,Science,F
304,History,C
304,English,A
304,Physical Education,D
305,Math,D
305,Science,C
305,History,F
305,English,A
305,Physical Education,B
306,Math,C
306,Science,C
306,History,D
306,English,D
306,Physical Education,B
307,Math,B
307,Science,B
307,History,D
307,English,F
307,Physical Education,D
308,Math,F
308,Science,D
308,History,A
308,English,C
308,Physical Education,A
309,Math,C
309,Science,D
309,History,F
309,English,F
309,Physical Education,D
310,Math,B
310,Science,A
310,History,D
310,English,A
310,Physical Education,F
311,Math,B
311,Science,A
311,History,D
311,English,A
311,Physical Education,F
312,Math,A
312,Science,F
312,History,B
312,English,C
312,Physical Education,A
313,Math,D
313,Science,A
313,History,A
313,English,B
313,Physical Education,B
314,Math,F
314,Science,D
314,History,C
314,English,C
314,Physical Education,F
315,Math,D
315,Science,C
315,History,B
315,English,B
315,Physical Education,B
316,Math,D
316,Science,F
316,History,A
316,English,A
316,Physical Education,A
317,Math,F
317,Science,C
317,History,D
317,English,A
317,Physical Education,A
318,Math,C
318,Science,F
318,History,B
318,English,B
318,Physical Education,D
319,Math,B
319,Science,D
319,History,A
319,English,C
319,Physical Education,A
320,Math,C
320,Science,F
320,History,B
320,English,F
320,Physical Education,F
321,Math,A
321,Science,F
321,History,F
321,English,B
321,Physical Education,A
322,Math,D
322,Science,D
322,History,A
322,English,A
322,Physical Education,C
323,Math,A
323,Science,A
323,History,D
323,English,D
323,Physical Education,D
324,Math,C
324,Science,A
324,History,F
324,English,C
324,Physical Education,D
325,Math,F
325,Science,D
325,History,C
325,English,F
325,Physical Education,C
326,Math,B
326,Science,D
326,History,C
326,English,C
326,Physical Education,C
327,Math,A
327,Science,B
327,History,C
327,English,D
327,Physical Education,C
328,Math,F
328,Science,B
328,History,B
328,English,A
328,Physical Education,C
329,Math,B
329,Science,F
329,History,F
329,English,D
329,Physical Education,A
330,Math,B
330,Science,B
330,History,B
330,English,D
330,Physical Education,A
331,Math,D
331,Science,B
331,History,B
331,English,D
331,Physical Education,D
332,Math,B
332,Science,F
332,History,F
332,English,D
332,Physical Education,D
333,Math,F
333,Science,D
333,History,C
333,English,B
333,Physical Education,F
334,Math,A
334,Science,F
334,History,D
334,English,F
334,Physical Education,C
335,Math,D
335,Science,C
335,History,A
335,English,F
335,Physical Education,D
336,Math,A
336,Science,C
336,History,B
336,English,A
336,Physical Education,C
337,Math,D
337,Science,A
337,History,B
337,English,A
337,Physical Education,D
338,Math,F
338,Science,D
338,History,F
338,English,A
338,Physical Education,C
339,Math,A
339,Science,F
339,History,F
339,English,A
339,Physical Education,D
340,Math,B
340,Science,A
340,History,F
340,English,B
340,Physical Education,B
341,Math,D
341,Science,A
341,History,A
341,English,D
341,Physical Education,B
342,Math,F
342,Science,C
342,History,D
342,English,C
342,Physical Education,C
343,Math,D
343,Science,D
343,History,F
343,English,F
343,Physical Education,D
344,Math,C
344,Science,B
344,History,D
344,English,C
344,Physical Education,D
345,Math,D
345,Science,F
345,History,F
345,English,F
345,Physical Education,F
346,Math,C
346,Science,A
346,History,B
346,English,D
346,Physical Education,B
347,Math,F
347,Science,F
347,History,D
347,English,B
347,Physical Education,D
348,Math,A
348,Science,A
348,History,B
348,English,A
348,Physical Education,C
349,Math,F
349,Science,A
349,History,D
349,English,B
349,Physical Education,F
350,Math,A
350,Science,C
350,History,D
350,English,C
350,Physical Education,B
351,Math,F
351,Science,F
351,History,A
351,English,F
351,Physical Education,C
352,Math,F
352,Science,F
352,History,A
352,English,A
352,Physical Education,F
353,Math,B
353,Science,F
353,History,F
353,English,F
353,Physical Education,B
354,Math,C
354,Science,F
354,History,C
354,English,C
354,Physical Education,B
355,Math,F
355,Science,D
355,History,F
355,English,F
355,Physical Education,D
356,Math,F
356,Science,B
356,History,C
356,English,A
356,Physical Education,C
357,Math,C
357,Science,A
357,History,B
357,English,A
357,Physical Education,D
358,Math,A
358,Science,C
358,History,A
358,English,C
358,Physical Education,D
359,Math,C
359,Science,F
359,History,C
359,English,C
359,Physical Education,F
360,Math,A
360,Science,D
360,History,A
360,English,C
360,Physical Education,A
361,Math,D
361,Science,F
361,History,A
361,English,D
361,Physical Education,B
362,Math,B
362,Science,C
362,History,B
362,English,A
362,Physical Education,F
363,Math,A
363,Science,F
363,History,D
363,English,D
363,Physical Education,F
364,Math,D
364,Science,F
364,History,F
364,English,F
364,Physical Education,B
365,Math,D
365,Science,C
365,History,B
365,English,F
365,Physical Education,A
366,Math,D
366,Science,D
366,History,A
366,English,B
366,Physical Education,B
367,Math,A
367,Science,C
367,History,C
367,English,B
367,Physical Education,D
368,Math,F
368,Science,F
368,History,F
368,English,A
368,Physical Education,A
369,Math,C
369,Science,A
369,History,C
369,English,A
369,Physical Education,C
370,Math,B
370,Science,A
370,History,F
370,English,D
370,Physical Education,F
371,Math,B
371,Science,B
371,History,C
371,English,C
371,Physical Education,F
372,Math,F
372,Science,D
372,History,F
372,English,B
372,Physical Education,B
373,Math,F
373,Science,A
373,History,A
373,English,D
373,Physical Education,F
374,Math,F
374,Science,F
374,History,B
374,English,D
374,Physical Education,C
375,Math,A
375,Science,C
375,History,C
375,English,F
375,Physical Education,F
376,Math,B
376,Science,B
376,History,D
376,English,D
376,Physical Education,A
377,Math,C
377,Science,F
377,History,D
377,English,D
377,Physical Education,B
378,Math,F
378,Science,D
378,History,B
378,English,D
378,Physical Education,F
379,Math,D
379,Science,D
379,History,A
379,English,B
379,Physical Education,B
380,Math,B
380,Science,D
380,History,F
380,English,B
380,Physical Education,F
381,Math,C
381,Science,A
381,History,B
381,English,B
381,Physical Education,D
382,Math,A
382,Science,D
382,History,C
382,English,B
382,Physical Education,C
383,Math,C
383,Science,A
383,History,A
383,English,A
383,Physical Education,D
384,Math,D
384,Science,A
384,History,B
384,English,D
384,Physical Education,A
385,Math,D
385,Science,A
385,History,F
385,English,A
385,Physical Education,F
386,Math,B
386,Science,F
386,History,F
386,English,A
386,Physical Education,C
387,Math,A
387,Science,F
387,History,D
387,English,B
387,Physical Education,C
388,Math,F
388,Science,F
388,History,F
388,English,B
388,Physical Education,B
389,Math,B
